task,step,train_loss,val_loss,trainable_params
A,1000,3.8440914154052734,3.7274961471557617,36864
A,1200,1.008231520652771,1.0155060291290283,36864
A,1400,0.8798650503158569,0.929108738899231,36864
A,1600,0.8885225653648376,0.9073483347892761,36864
A,1800,0.8568587303161621,0.9006097316741943,36864
A,2000,0.8606442809104919,0.8934100270271301,36864
A,2200,0.8366526961326599,0.8833790421485901,36864
A,2400,0.8444238305091858,0.8748520612716675,36864
A,2600,0.8480077981948853,0.8773448467254639,36864
A,2800,0.8149710893630981,0.8949461579322815,36864
A,3000,0.8352936506271362,0.858791708946228,36864
B,1000,3.17280650138855,3.1851868629455566,36864
B,1200,1.3912009000778198,1.3947027921676636,36864
B,1400,1.283323049545288,1.3108038902282715,36864
B,1600,1.291163444519043,1.2784264087677002,36864
B,1800,1.2523952722549438,1.2684131860733032,36864
B,2000,1.2571234703063965,1.294797420501709,36864
B,2200,1.250656247138977,1.2734782695770264,36864
B,2400,1.2405726909637451,1.2528666257858276,36864
B,2600,1.2386984825134277,1.2242372035980225,36864
B,2800,1.2332366704940796,1.2344166040420532,36864
B,3000,1.2359609603881836,1.255233645439148,36864


Accuracy:
ckpt_A_r4.pt    -> 0.1224  time : 5.6 min
ckpt_B.pt       -> 0.1406  time : 6.5 min

