run,model,data_pct,train_loss,val_loss,params,tokens,flops,tokens_per_param
out_M_10,M,10,0.09649099409580231,4.6376824378967285,10696704,9998336,641695444107264,0.9347118514263834
out_XS_100,XS,100,2.2305095195770264,2.2606515884399414,111104,9998336,6665130737664,89.99078341013825
out_XS_10,XS,10,2.0368261337280273,2.450676202774048,111104,9998336,6665130737664,89.99078341013825
out_L_10,L,10,0.08530205488204956,5.043310642242432,25274368,9998336,1516209740709888,0.39559192934122034
out_S_25,S,25,1.476202368736267,2.0532610416412354,812544,9998336,48744527560704,12.304977945809703
out_L_50,L,50,0.23659570515155792,2.852766990661621,25274368,9998336,1516209740709888,0.39559192934122034
out_XS_50,XS,50,2.192889451980591,2.2974653244018555,111104,9998336,6665130737664,89.99078341013825
out_M_50,M,50,0.7571243047714233,2.0881285667419434,10696704,9998336,641695444107264,0.9347118514263834
out_S_100,S,100,1.6118046045303345,1.7894768714904785,812544,9998336,48744527560704,12.304977945809703
out_M_25,M,25,0.20006635785102844,3.200921058654785,10696704,9998336,641695444107264,0.9347118514263834
out_XS_25,XS,25,2.1393823623657227,2.3619625568389893,111104,9998336,6665130737664,89.99078341013825
out_L_100,L,100,0.807740330696106,1.6434130668640137,25274368,9998336,1516209740709888,0.39559192934122034
out_M_100,M,100,1.0787298679351807,1.486290454864502,10696704,9998336,641695444107264,0.9347118514263834
out_S_50,S,50,1.5489516258239746,1.9691722393035889,812544,9998336,48744527560704,12.304977945809703
out_L_25,L,25,0.11587745696306229,4.1707234382629395,25274368,9998336,1516209740709888,0.39559192934122034
out_S_10,S,10,1.3328434228897095,2.2429728507995605,812544,9998336,48744527560704,12.304977945809703
